index,name,deType,deFunctionType,pixelAddition,defaultBailout,analyticFunction,coloringFunction
aboxMod1,"Abox - Mod 1",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionIFS
aboxMod2,"Abox - Mod 2",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
aboxMod11,"Abox - Mod 11",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
aboxMod12,"Abox - Mod 12",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
aboxMod13,"Abox - Mod 13",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
aboxModKali,"Abox - Mod Kali",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionIFS
aboxModKaliEiffie,"Abox - Mod Kali-Eiffie",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
aboxModKaliV2,"Abox - Mod Kali-V2",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionIFS
aboxModKaliV3,"Abox - Mod Kali-V3",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionIFS
aboxVSIcen1,"Abox - VS icen1",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
aboxSurfBox,"Abox - Surf Box",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
aexion,Aexion,deltaDEType,logarithmicDEFunction,cpixelAlreadyHas,10000,analyticFunctionNone,coloringFunctionDefault
aexionOctopusMod,"Aexion Octopus Mod",deltaDEType,logarithmicDEFunction,cpixelAlreadyHas,10,analyticFunctionNone,coloringFunctionDefault
amazingSurf,"Amazing Surf",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionAmazingSurf
amazingSurfMod1,"Amazing Surf - Mod 1",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
amazingSurfMod2,"Amazing Surf - Mod 2",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
amazingSurfMod3,"Amazing Surf - Mod 3",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
amazingSurfMulti,"Amazing Surf - Multi",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
benesi,"Benesi - Pwr2",analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
benesiPineTree,"Benesi - Pine Tree",analyticDEType,logarithmicDEFunction,cpixelAlreadyHas,10,analyticFunctionLogarithmic,coloringFunctionDefault
benesiT1PineTree,"Benesi - T1 Pine Tree",analyticDEType,logarithmicDEFunction,cpixelAlreadyHas,10,analyticFunctionLogarithmic,coloringFunctionDefault
benesiMagTransforms,"Benesi - Mag Transforms",deltaDEType,linearDEFunction,cpixelDisabledByDefault,10,analyticFunctionNone,coloringFunctionDefault
benesiPwr2Mandelbulb,"Benesi - Pwr2 Mandelbulb",analyticDEType,logarithmicDEFunction,cpixelDisabledByDefault,10,analyticFunctionLogarithmic,coloringFunctionDefault
boxFoldBulbPow2,"Box Fold Bulb Pow 2",deltaDEType,linearDEFunction,cpixelEnabledByDefault,10000,analyticFunctionNone,coloringFunctionDefault
boxFoldBulbPow2V2,"Box Fold Bulb Pow 2 V2",analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
boxFoldBulbPow2V3,"Box Fold Bulb Pow 2 V3",analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
boxFoldBulbMenger,"Box Fold Bulb Menger",analyticDEType,logarithmicDEFunction,cpixelDisabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
boxFoldQuat,"Box Fold Quat",analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
bristorbrot,Bristorbrot,analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionLogarithmic,coloringFunctionDefault
bristorbrot2,"Bristorbrot V2",analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionLogarithmic,coloringFunctionDefault
buffalo,Buffalo,analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionLogarithmic,coloringFunctionDefault
coastalbrot,Coastalbrot,analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionLogarithmic,coloringFunctionDefault
modulusMengerSponge,"Modulus Menger Sponge",analyticDEType,linearDEFunction,cpixelDisabledByDefault,10,analyticFunctionIFS,coloringFunctionIFS
modulusMandelbulb,"Modulus Mandelbulb",analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionLogarithmic,coloringFunctionDefault
collatz,Collatz,analyticDEType,linearDEFunction,cpixelDisabledByDefault,10,analyticFunctionIFS,coloringFunctionIFS
collatzMod,"Collatz - Mod",analyticDEType,linearDEFunction,cpixelDisabledByDefault,10,analyticFunctionIFS,coloringFunctionIFS
foldBoxMod1,"Fold Box - Mod 1",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
generalizedFoldBox,"Generalized Fold Box",analyticDEType,linearDEFunction,cpixelEnabledByDefault,100,analyticFunctionLinear,coloringFunctionABox
hypercomplex,Hypercomplex,analyticDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionLogarithmic,coloringFunctionDefault
ides,Ides,deltaDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionNone,coloringFunctionDefault
ides2,"Ides 2",deltaDEType,logarithmicDEFunction,cpixelEnabledByDefault,10,analyticFunctionNone,coloringFunctionDefault
ifsXY,"Ifs - XY",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
